workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
41,6,9,3,7,0,8,7,1,126.54,132.444,728.055,875.453,0,0.06,0.007,25.119
38,4,2,4,7,7,7,1,6,95.844,90.329,643.275,786.46,0.352,0.044,0.006,31.758
35,7,4,6,0,5,2,3,8,102.331,86.447,386.631,0,0.22,0.027,0.002,53.614
53,7,9,9,5,8,3,6,6,133.346,143.724,794.137,896.636,0.461,0.055,0.009,47.832
46,6,7,3,8,8,7,3,4,118.035,125.971,716.505,880.714,0.442,0.055,0.005,40.466
28,4,4,0,1,5,3,5,6,73.956,45.725,0,345.214,0.158,0.02,0.003,19.914
31,1,8,1,2,9,4,4,2,78.424,69.914,335.27,653.427,0.273,0.029,0.004,16.587
39,1,6,8,3,8,3,6,4,78.468,91.385,635.37,699.6,0.303,0.035,0.003,13.452
51,8,8,5,4,7,5,8,6,132.043,125.321,693.943,776.113,0.371,0.047,0.004,48.801
48,8,7,2,9,6,9,6,1,146.239,138.19,752.512,938.08,0.496,0.073,0.008,25.747
28,0,2,0,4,0,6,8,8,0,36.75,0,367.24,0,0.018,0.002,16.012
42,7,6,5,2,3,4,8,7,115.009,93.31,646.495,695.113,0.223,0.033,0.004,32.915
51,6,7,7,9,9,6,6,1,139.971,155.208,811.489,995.57,0.588,0.073,0.009,18.317
45,5,5,5,7,4,2,9,8,98.827,105.992,687.174,830.169,0.271,0.037,0.005,26.647
28,0,9,8,4,2,2,1,2,0,91.531,632.675,721.859,0.194,0.03,0.004,18.633
47,5,9,4,6,3,9,6,5,113.267,123.951,697.192,819.719,0.348,0.054,0.004,29.753
41,3,0,7,9,6,3,7,6,72.738,0,675.974,862.328,0.325,0.04,0.007,24.789
42,4,8,7,5,1,8,3,6,102.862,116.895,709.121,812.622,0.303,0.05,0.004,40.859
42,3,2,9,9,2,8,8,1,94.497,120.023,779.009,962.833,0.384,0.063,0.007,13.468
39,6,9,5,8,0,1,3,7,109.304,124.702,724.922,883.334,0,0.037,0.006,42.646
45,7,8,1,4,5,7,7,6,116.62,102.726,644.088,725.564,0.309,0.045,0.009,34.671
43,6,5,2,1,6,8,8,7,99.829,73.376,341.783,667.312,0.286,0.038,0.009,34.809
45,1,9,8,4,8,7,2,6,91.131,112.245,704.805,788.262,0.399,0.049,0.002,24.55
30,1,1,2,5,3,4,6,8,47.982,52.555,323.42,631.3,0.162,0.024,0.004,21.383
33,0,1,8,1,5,6,8,4,0,55.428,360.331,673.299,0.219,0.031,0.002,18.789
37,4,7,9,3,0,6,7,1,112.409,119.759,706.072,768.597,0,0.057,0.006,20.63
45,3,6,7,3,6,7,9,4,91.462,102.106,653.722,714.341,0.345,0.046,0.003,24.95
35,4,2,7,8,4,4,4,2,89.951,97.608,699.33,861.276,0.3,0.042,0.007,15.823
27,0,1,2,3,4,1,7,9,0,36.303,233.783,372.711,0.107,0.016,0.002,11.459
39,7,8,1,4,7,6,3,3,113.866,104.592,649.99,731.57,0.36,0.046,0.009,29.327
32,4,4,1,8,1,5,6,3,85.768,86.969,399.101,786.427,0.213,0.035,0.007,22.418
31,4,6,7,1,2,2,4,5,89.123,85.632,409.021,773.607,0.18,0.027,0.003,33.484
50,3,9,2,2,9,7,9,9,99.048,88.881,602.833,665.782,0.338,0.04,0.002,34.258
35,3,4,6,4,6,9,3,0,87.288,93.635,640.426,723.647,0.359,0.05,0.004,0
39,8,1,9,1,1,7,9,3,104.589,89.009,632.759,670.596,0.236,0.041,0.004,18.174
39,6,5,6,3,9,1,1,8,104.929,101.106,653.766,720.916,0.337,0.032,0.003,44.555
29,6,4,0,0,9,7,2,1,89.952,58.425,0,0,0.292,0.035,0.002,16.398
23,2,2,6,8,2,1,1,1,64.13,79.49,616.564,784.54,0.21,0.031,0.005,8.739
27,1,0,2,8,5,5,4,2,50.543,0,367.384,719.025,0.222,0.03,0.003,7.851
40,6,6,4,5,5,5,5,4,108.11,105.91,665.5,767.132,0.32,0.042,0.002,28.516
38,6,7,3,6,3,2,5,6,104.373,106.488,661.948,785.925,0.24,0.035,0.005,37.95
40,8,9,0,6,1,8,5,3,122.249,110.057,0,798.391,0.27,0.047,0.007,20.593
32,7,7,4,0,4,5,4,1,122.816,90.69,624.684,0,0.288,0.041,0.004,25.614
33,6,1,5,2,7,7,3,2,94.578,70.767,372.023,705.495,0.331,0.045,0.004,20.075
35,4,6,9,9,2,2,1,2,97.005,119.362,785.651,971.206,0.308,0.046,0.009,17.767
52,9,6,8,9,7,1,3,9,134.467,150.409,840.901,1020.449,0.442,0.052,0.027,53.368
38,6,8,1,5,6,4,6,2,111.372,106.136,652.044,752.791,0.333,0.041,0.006,18.158
35,4,2,9,1,4,8,3,4,88.34,87.137,608.914,651.017,0.272,0.042,0.003,21.08
28,2,0,7,4,5,5,4,1,69.164,0,424.101,802.813,0.273,0.038,0.004,20.07
42,6,2,6,4,1,9,5,9,95.133,95.375,670.134,754.358,0.265,0.046,0.008,32.076
43,6,5,8,5,9,1,2,7,113.492,112.18,732.341,834.037,0.402,0.039,0.011,39.986
38,2,2,8,9,6,0,2,9,75.568,91.424,690.07,874.28,0.296,0,0.011,45.621
44,3,2,2,9,6,9,4,9,79.072,90.35,632.294,813.519,0.35,0.049,0.008,26.898
45,7,5,6,9,8,2,0,8,118.244,130.382,774.788,956.726,0.432,0.05,0,34.552
39,4,4,3,7,9,2,9,1,111.079,105.327,663.461,803.768,0.427,0.049,0.005,23.463
35,2,4,8,3,3,5,8,2,81.709,87.216,615.896,681.341,0.246,0.037,0.005,15.08
51,9,5,3,6,3,9,8,8,123.824,118.39,690.006,807.84,0.361,0.059,0.012,40.485
48,7,9,2,6,7,8,2,7,129.765,125.488,692.688,812.257,0.423,0.057,0.006,42.419
39,4,6,9,2,6,2,1,9,101.554,104.97,668.376,711.398,0.294,0.036,0.002,47.46
50,7,7,8,7,1,4,8,8,120.616,131.703,781.508,921.28,0.308,0.049,0.016,59.264
39,2,2,9,6,8,3,7,2,73.477,90.927,668.017,791.037,0.34,0.04,0.007,15.838
36,1,2,2,2,5,8,9,7,54.641,47.322,311.417,352.204,0.213,0.03,0.005,22.795
39,4,6,6,0,7,6,5,5,98.842,87.315,382.712,0,0.311,0.038,0.003,24.597
35,9,7,2,5,1,4,6,1,131.05,117.9,683.753,785.046,0.303,0.046,0.006,20.104
36,5,5,3,1,1,7,9,5,89.128,72.276,347.205,678.137,0.188,0.031,0.006,21.348
29,2,6,1,2,7,3,5,3,68.828,61.549,325.045,635.818,0.22,0.024,0.003,22.896
36,9,4,6,0,2,6,6,3,114.583,90.965,622.585,0,0.231,0.036,0.003,16.358
40,8,6,2,6,6,4,3,5,124.096,108.677,674.333,797.397,0.328,0.041,0.011,28.011
33,9,1,1,6,9,3,1,3,107.514,88.733,385.974,760.605,0.349,0.034,0.004,32.216
43,8,7,3,1,8,1,7,8,112.228,90.591,616.337,667.49,0.272,0.029,0.012,34.485
