workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
42,4,9,3,8,9,2,4,3,104.934,111.267,702.34,860.43,0.549,0.048,0.006,21.555
22,3,5,4,3,2,1,0,4,74.403,70.224,365.283,704.127,0.155,0.023,0,17.806
34,4,2,3,4,9,4,1,7,82.862,70.808,368.543,716.448,0.356,0.039,0.012,43.52
31,7,0,3,0,3,7,6,5,78.866,0,316.067,0,0.221,0.034,0.007,26.639
30,6,1,8,1,2,6,1,5,91.102,80.363,416.256,782.655,0.249,0.04,0.003,34.918
45,6,4,8,3,7,4,8,5,107.777,105.13,676.79,738.546,0.397,0.047,0.01,25.761
37,2,9,4,6,7,5,4,0,90.731,106.519,670.791,792.615,0.434,0.052,0.005,0
29,8,7,3,0,2,4,3,2,114.475,78.926,348.149,0,0.192,0.03,0.004,33.595
37,4,7,7,4,7,4,3,1,114.558,110.572,696.586,777.627,0.419,0.052,0.006,15.333
36,8,4,9,2,3,3,2,5,117.058,108.806,691.409,735.093,0.281,0.04,0.015,40.503
39,9,5,5,3,8,4,1,4,124.362,108.343,676.015,736.349,0.418,0.049,0.005,32.734
38,1,6,3,9,6,2,6,5,70.4,91.142,646.936,825.291,0.277,0.036,0.005,15.847
49,2,5,7,7,9,9,4,6,91.565,108.002,707.552,851.433,0.469,0.061,0.003,25.754
43,9,7,8,8,1,3,2,5,130.808,142.056,812.631,975.258,0.349,0.055,0.024,43.17
39,2,1,9,5,8,3,4,7,70.316,80.188,629.112,735.978,0.323,0.04,0.003,31.022
45,3,6,9,9,3,5,2,8,97.255,122.377,770.763,952.598,0.348,0.054,0.005,36.095
40,2,8,8,4,0,7,7,4,91.132,104.436,662.753,746.645,0,0.044,0.004,18.204
40,4,6,2,3,5,8,5,7,94.552,80.681,360.515,706.613,0.287,0.043,0.013,44.053
20,3,7,0,1,0,2,7,0,71.697,56.381,0,628.187,0,0.026,0.002,0
