workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
7,1,2,1,1,0,1,1,0,107.737,80.577,370.307,722.53,0,0.017,0.002,0
6,1,0,1,1,1,1,0,1,91.584,0,342.172,656.913,0.117,0.017,0,19.815
7,1,1,1,0,1,0,1,2,71.965,80.4,233.8,0,0.102,0,0.004,32.194
10,1,2,2,1,1,1,1,1,159.855,159.585,644.848,698.748,0.19,0.028,0.003,68.714
7,1,1,0,1,1,1,1,1,106.608,126.922,0,647.657,0.127,0.019,0.002,47.142
5,1,1,0,0,1,0,1,1,75.728,74.991,0,0,0.087,0,0.001,28.661
5,0,1,0,0,2,1,1,0,0,33.866,0,0,0.092,0.014,0.002,0
9,0,1,2,1,2,1,1,1,0,164.958,613.407,680.6,0.172,0.024,0.002,22.057
9,1,1,1,1,1,1,2,1,129.817,159.348,622.814,680.218,0.171,0.025,0.002,22.526
9,2,1,0,2,1,2,1,0,131.138,105.719,0,759.135,0.147,0.023,0.003,0
5,0,0,0,1,0,1,2,1,0,0,0,367.805,0,0.014,0.001,29.099
7,1,1,1,0,1,1,1,1,106.035,104.302,335.639,0,0.128,0.019,0.002,47.11
9,1,1,1,2,2,1,1,0,126.257,105.712,645.268,750.985,0.145,0.022,0.002,0
9,1,1,1,1,1,0,2,2,93.708,109.389,342.714,642.993,0.116,0,0.003,55.583
4,0,2,1,1,0,0,0,0,0,45.354,253.171,389.953,0,0,0,0
9,1,2,1,1,0,2,1,1,151.87,122.182,625.802,676.237,0,0.024,0.002,22.007
8,1,0,1,2,1,1,1,1,132.75,0,620.184,743.265,0.14,0.021,0.002,50.401
7,1,2,1,1,0,1,0,1,109.642,88.158,361.502,700.453,0,0.019,0,47.112
8,0,0,2,2,0,2,2,0,0,0,613.265,713.374,0,0.02,0.002,0
7,1,2,1,1,0,0,1,1,109.784,106.103,354.871,671.064,0,0,0.002,79.684
7,1,1,0,1,1,1,1,1,106.66,126.087,0,645.668,0.125,0.019,0.002,47.713
7,1,1,0,0,1,2,1,1,101.241,88.389,0,0,0.116,0.018,0.002,44.436
8,0,2,2,1,1,1,0,1,0,112.364,412.15,788.935,0.139,0.021,0,51.008
5,0,0,0,1,1,1,1,1,0,0,0,357.478,0.091,0.014,0.001,29.463
7,0,0,2,0,1,1,2,1,0,0,357.265,0,0.125,0.019,0.002,46.658
7,1,1,2,1,0,1,1,0,104.232,79.143,395.783,749.274,0,0.017,0.002,0
9,1,1,1,1,1,1,2,1,151.386,128.706,624.579,686.736,0.148,0.024,0.002,22.67
7,1,0,1,2,1,1,1,0,100.696,0,382.078,742.195,0.112,0.017,0.002,0
5,0,0,0,1,1,0,1,2,0,0,0,224.472,0.081,0,0.001,25.926
7,1,1,0,1,1,1,1,1,103.723,129.794,0,637.655,0.129,0.02,0.002,48.51
7,1,1,0,2,0,1,1,1,111.659,164.971,0,680.468,0,0.021,0.002,48.828
5,1,1,1,0,0,0,1,1,72.39,105.559,232.735,0,0,0,0.001,48.63
10,1,2,0,0,2,1,2,2,90.111,207.991,0,0,0.12,0.018,0.002,30.17
8,1,1,1,1,1,2,1,0,120.826,88.268,605.806,666.014,0.127,0.02,0.003,0
7,2,0,2,0,0,1,2,0,105.083,0,370.835,0,0,0.018,0.003,0
8,1,1,1,1,2,0,0,2,108.201,105.799,354.412,682.393,0.127,0,0,62.854
5,1,1,0,0,2,1,0,0,68.131,47.203,0,0,0.091,0.013,0,0
2,0,0,1,1,0,0,0,0,0,0,148.26,247.429,0,0,0,0
5,0,0,0,2,1,1,1,0,0,0,0,422.314,0.085,0.013,0.001,0
8,1,1,1,1,1,1,1,1,127.822,120.778,366.975,689.55,0.144,0.022,0.002,68.009
7,1,1,1,1,1,0,1,1,107.394,107.28,358.15,687.321,0.128,0,0.002,46.728
8,1,2,0,1,0,2,1,1,124.494,101.295,0,654.261,0,0.022,0.002,66.386
6,1,1,1,0,1,1,1,0,88.849,62.571,331.674,0,0.102,0.015,0.002,0
5,1,0,1,0,1,1,1,0,67.531,0,310.38,0,0.086,0.014,0.002,0
6,1,1,2,2,0,0,0,0,83.885,72.104,387.865,723.409,0,0,0,0
10,2,1,1,2,1,0,1,2,132.034,157.597,648.043,763.796,0.148,0,0.003,37.564
7,1,2,0,1,1,1,1,0,106.467,80.249,0,677.232,0.107,0.017,0.002,0
7,1,0,2,0,1,2,0,1,106.485,0,365.741,0,0.131,0.02,0,46.143
5,0,0,1,1,1,1,1,0,0,0,312.275,364.503,0.09,0.014,0.002,0
8,1,0,1,1,0,2,1,2,89.05,0,340.797,658.798,0,0.019,0.004,47.596
8,1,1,2,1,2,0,0,1,128.95,137.419,412.719,796.457,0.147,0,0,52.375
6,0,0,1,2,1,0,0,2,0,0,318.924,608.202,0.111,0,0,29.31
