workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
7,1,2,1,1,0,1,1,0,0.009281834,0.024820725,0.002700459,0.001384024,0,58.37025833,39.38064957,0
6,1,0,1,1,1,1,0,1,0.010918853,0,0.002922507,0.001522267,8.484081268,55.99824142,0,0.047701262
7,1,1,1,0,1,0,1,2,0.013895537,0.012437753,0.004277154,0,9.793280602,0,0.258901387,0.034318473
10,1,2,2,1,1,1,1,1,0.00625564,0.012532497,0.003101507,0.001431129,5.245531082,35.2949028,30.95930862,0.014510254
7,1,1,0,1,1,1,1,1,0.00938013,0.007878818,0,0.00154402,7.858932495,50.77244186,42.67620468,0.02104752
5,1,1,0,0,1,0,1,1,0.013205068,0.013334911,0,0,11.43235683,0,59.77795792,0.03473727
5,0,1,0,0,2,1,1,0,0,0.029527657,0,0,21.71516418,69.21736145,46.8013916,0
9,0,1,2,1,2,1,1,1,0,0.006062122,0.003260475,0.00146929,11.59811115,40.48881531,32.98090363,0.044274375
9,1,1,1,1,1,1,2,1,0.007703128,0.006275543,0.001605616,0.001470115,5.819550514,39.81180954,67.42330933,0.043266557
9,2,1,0,2,1,2,1,0,0.015251142,0.009458978,0,0.00263458,6.793587208,86.48706055,32.67134857,0
5,0,0,0,1,0,1,2,1,0,0,0,0.002718825,0,69.43340302,106.904129,0.034298256
7,1,1,1,0,1,1,1,1,0.009430789,0.009587483,0.002979387,0,7.763325214,51.29582214,39.83049774,0.02117788
9,1,1,1,2,2,1,1,0,0.007920302,0.009459619,0.001549744,0.002663205,13.78589821,44.95986557,32.6987381,0
9,1,1,1,1,1,0,2,2,0.010671399,0.009141687,0.002917881,0.001555224,8.614976883,0,0.313863397,0.020299695
4,0,2,1,1,0,0,0,0,0,0.044098709,0.003949889,0.002564402,0,0,0,0
9,1,2,1,1,0,2,1,1,0.006584557,0.016368955,0.00159795,0.001478767,0,82.74140167,32.12482452,0.044839315
8,1,0,1,2,1,1,1,1,0.007532934,0,0.001612422,0.002690835,7.114465237,47.35897827,36.02047348,0.019795466
7,1,2,1,1,0,1,0,1,0.009120537,0.022688152,0.002766225,0.001427643,0,52.20154953,0,0.021172397
8,0,0,2,2,0,2,2,0,0,0,0.003261382,0.002803575,0,95.88105011,70.45932007,0
7,1,2,1,1,0,0,1,1,0.00910874,0.018849446,0.002817925,0.001490166,0,0,29.48753357,0.012423171
7,1,1,0,1,1,1,1,1,0.009375513,0.007930994,0,0.001548781,7.955701351,51.53226089,42.71020508,0.020873876
7,1,1,0,0,1,2,1,1,0.009877356,0.011313497,0,0,8.617842674,108.2455063,41.20167542,0.022437911
8,0,2,2,1,1,1,0,1,0,0.017799346,0.004852603,0.00126753,7.160950661,46.4813385,0,0.019540351
5,0,0,0,1,1,1,1,1,0,0,0,0.002797359,10.89479733,68.13322449,51.91249084,0.033849347
7,0,0,2,0,1,1,2,1,0,0,0.005598074,0,7.994527817,50.79639053,76.49385834,0.021373037
7,1,1,2,1,0,1,1,0,0.009593952,0.012635237,0.005053273,0.001334623,0,56.32194901,39.23489761,0
9,1,1,1,1,1,1,2,1,0.006605609,0.007769621,0.001601078,0.001456161,6.75274229,40.85093307,64.03383636,0.043541409
7,1,0,1,2,1,1,1,0,0.009930848,0,0.002617267,0.00269473,8.894926071,56.75164032,39.02164459,0
5,0,0,0,1,1,0,1,2,0,0,0,0.004454872,12.2586689,0,2.423927307,0.041820478
7,1,1,0,1,1,1,1,1,0.009641033,0.007704504,0,0.001568241,7.711773396,49.30344772,43.3643837,0.020408964
7,1,1,0,2,0,1,1,1,0.008955759,0.006061662,0,0.002939148,0,47.05844879,42.30129623,0.020292999
5,1,1,1,0,0,0,1,1,0.013813935,0.00947336,0.00429672,0,0,0,40.0160141,0.019971333
10,1,2,0,0,2,1,2,2,0.011097318,0.009615778,0,0,16.56263351,54.47566223,22.46302414,0.049108423
8,1,1,1,1,1,2,1,0,0.00827631,0.01132906,0.001650693,0.001501468,7.850649357,96.09445953,36.44378281,0
7,2,0,2,0,0,1,2,0,0.019032516,0,0.00539325,0,0,54.4942131,73.14399719,0
8,1,1,1,1,2,0,0,2,0.00924203,0.009451855,0.002821571,0.001465429,15.65329742,0,0,0.018026046
5,1,1,0,0,2,1,0,0,0.014677558,0.02118499,0,0,21.85163307,73.74130249,0,0
2,0,0,1,1,0,0,0,0,0,0,0.006744871,0.004041531,0,0,0,0
5,0,0,0,2,1,1,1,0,0,0,0,0.004735794,11.68791103,71.75320435,49.32784653,0
8,1,1,1,1,1,1,1,1,0.00782338,0.008279653,0.002724977,0.001450217,6.939743519,45.31984711,36.24915695,0.014662351
7,1,1,1,1,1,0,1,1,0.009311479,0.009321388,0.002792126,0.001454922,7.804903984,0,38.28079987,0.021320598
8,1,2,0,1,0,2,1,1,0.008032477,0.019744247,0,0.00152844,0,87.57717133,36.35083771,0.014989383
6,1,1,1,0,1,1,1,0,0.011254978,0.015981667,0.003015004,0,9.70843029,63.94481659,42.38109207,0
5,1,0,1,0,1,1,1,0,0.014807819,0,0.003221857,0,11.52249336,69.73919678,46.56327057,0
6,1,1,2,2,0,0,0,0,0.011920958,0.013868685,0.005156439,0.002765645,0,0,0,0
