workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
65,10,14,5,11,1,12,11,1,111.563,78.925,477.618,765.562,0.178,0.026,0.003,31.718
59,6,4,6,11,11,11,1,9,80.122,60.536,367.605,724.835,0.137,0.023,0.002,37.709
53,10,7,9,1,7,2,5,12,68.049,48.266,326.402,629.708,0.097,0.016,0.002,30.958
83,11,14,14,8,12,5,9,10,110.224,87.438,634.895,736.907,0.17,0.029,0.003,42.719
71,9,11,4,12,12,11,5,7,102.426,75.708,391.813,775.38,0.153,0.027,0.002,46.565
44,7,6,1,1,8,4,8,9,47.044,32.02,208.21,321.089,0.075,0.014,0.002,15.896
47,1,12,1,4,14,6,6,3,50.549,42.539,309.441,384.713,0.11,0.019,0.002,10.835
63,2,10,12,5,13,5,9,7,76.759,60.527,367.802,713.536,0.133,0.022,0.002,23.264
78,12,12,8,6,10,8,13,9,101.14,72.448,384.202,752.624,0.142,0.025,0.004,40.399
74,13,11,3,13,9,14,9,2,111.897,79.423,610.183,777.184,0.165,0.027,0.003,20.779
44,0,4,0,6,0,9,13,12,0,22.696,0,318.911,0,0.011,0.002,8.505
65,11,9,8,3,5,6,12,11,79.605,56.739,343.037,667.919,0.111,0.018,0.002,30.975
77,9,11,10,14,14,9,9,1,133.714,91.801,660.879,827.068,0.192,0.033,0.004,35.728
69,7,7,8,11,7,3,13,13,80.681,58.443,378.67,742.95,0.123,0.02,0.002,38.87
42,0,13,12,7,3,3,1,3,0,54.692,356.597,690.638,0.1,0.016,0.002,16.327
73,8,14,7,9,4,14,10,7,91.521,73.149,392.812,773.109,0.157,0.025,0.002,40.707
64,5,0,11,14,10,4,11,9,72.73,0,398.131,781.078,0.136,0.021,0.003,28.545
63,6,12,11,8,1,12,4,9,83.632,68.117,394.392,768.633,0.144,0.023,0.002,30.608
65,4,2,14,14,3,13,13,2,83.624,67.558,434.003,848.681,0.157,0.025,0.003,17.902
60,9,14,8,12,0,2,5,10,81.054,67.767,400.062,785.099,0,0.019,0.003,38.891
70,10,12,2,6,8,11,11,10,88.07,61.854,339.873,671.986,0.128,0.021,0.003,45.574
67,9,8,3,2,9,13,12,11,72.097,50.142,313.559,617.424,0.124,0.02,0.004,33.304
67,1,14,13,6,12,10,2,9,92.365,70.554,400.938,777.633,0.151,0.026,0.002,44.438
45,1,1,3,7,5,6,10,12,25.416,28.678,218.871,367.673,0.084,0.014,0.002,11.558
54,0,2,13,2,8,10,13,6,0,40.283,308.828,344.522,0.112,0.019,0.003,14.38
56,6,11,14,4,1,9,10,1,91.054,69.12,390.486,755.756,0.164,0.024,0.003,38.339
69,5,9,11,5,9,10,14,6,82.089,62.475,371.711,722.548,0.133,0.023,0.003,33.866
52,6,3,11,13,6,5,5,3,76.662,59.589,399.196,781.195,0.126,0.02,0.002,20.428
43,1,2,3,4,7,1,11,14,21.752,23.43,167.074,327.419,0.07,0.01,0.002,10.671
59,11,12,2,6,10,9,4,5,92.107,62.37,340.389,674.121,0.126,0.022,0.003,24.201
53,6,7,2,13,2,8,10,5,67.985,50.964,338.761,670.652,0.11,0.017,0.002,17.866
48,7,9,10,1,3,3,7,8,60.914,46.939,321.97,610.499,0.088,0.014,0.001,26.496
75,5,14,3,3,13,10,14,13,80.376,55.935,325.215,640.65,0.127,0.023,0.003,51.536
51,5,5,9,5,9,13,4,1,75.793,55.475,346.569,675.101,0.141,0.024,0.003,14.213
59,13,1,13,2,1,11,14,4,74.442,54.743,349.816,673.143,0.119,0.019,0.002,17.647
60,9,8,9,4,13,2,2,13,84.153,57.187,350.976,681.911,0.127,0.021,0.002,41.139
45,9,7,0,0,13,11,3,2,60.363,37.346,0,0,0.107,0.021,0.002,13.098
33,3,3,9,12,2,2,1,1,52.873,44.946,342.474,671.826,0.086,0.013,0.002,10.084
44,2,1,4,13,8,7,7,2,50.331,44.144,321.223,635.135,0.115,0.019,0.002,12.092
62,10,9,6,8,8,7,7,7,86.433,62.864,365.542,718.424,0.125,0.021,0.002,29.724
58,9,10,5,9,4,3,8,10,75.276,56.792,352.679,694.194,0.108,0.017,0.002,33.252
63,12,14,1,9,2,13,7,5,91.611,66.891,350.427,694.13,0.14,0.022,0.003,18.614
51,11,10,6,1,6,8,7,2,79.423,53.357,327.329,637.655,0.108,0.018,0.002,18.767
50,9,1,8,3,11,10,5,3,67.634,47.621,321.861,626.255,0.123,0.021,0.002,23
55,6,10,14,14,4,2,2,3,85.314,71.506,456.686,891.72,0.132,0.021,0.004,23.84
80,14,9,12,13,11,2,5,14,111.105,81.325,637.053,796.873,0.169,0.027,0.003,75.697
60,9,13,2,8,10,6,9,3,88.577,62.088,346.184,684.722,0.124,0.022,0.002,18.778
54,7,3,14,2,6,12,4,6,72.768,55.263,352.715,676.105,0.126,0.02,0.002,28.671
45,4,1,10,7,8,8,6,1,68.658,51.04,337.654,658.221,0.13,0.021,0.002,15.327
64,10,3,9,6,2,13,8,13,74.472,55.946,354.241,690.829,0.129,0.02,0.002,36.027
65,9,7,13,8,14,1,3,10,91.127,68.985,409.941,797.926,0.154,0.024,0.003,32.906
58,4,3,12,14,9,0,3,13,69.758,58.287,408.143,799.453,0.127,0,0.002,43.284
69,5,4,3,13,10,14,6,14,79.306,57.28,360.148,713.509,0.146,0.024,0.004,72.932
69,10,8,9,14,12,3,0,13,98.443,75.723,434.244,854.253,0.163,0.027,0,65.725
60,7,6,4,11,14,2,14,2,77.732,56.774,356.956,704.987,0.134,0.021,0.003,10
55,3,6,12,5,5,8,12,4,65.478,51.19,346.021,669.297,0.116,0.019,0.002,19.724
78,14,8,5,10,4,13,12,12,100.321,70.028,382.4,755.15,0.15,0.023,0.005,39.755
76,11,13,4,10,11,13,3,11,109.133,78.188,387.802,767.614,0.162,0.027,0.004,65.974
59,6,9,14,3,8,3,2,14,77.163,59.177,370.518,712.695,0.121,0.019,0.001,38.998
77,11,10,12,11,1,6,13,13,94.226,72.919,434.145,848.809,0.139,0.022,0.002,51.977
59,3,2,13,9,13,4,11,4,68.783,55.63,375.476,731.944,0.139,0.021,0.002,13.467
53,2,3,3,3,7,12,13,10,30.392,30.153,212.708,334.558,0.106,0.017,0.003,13.195
61,6,9,10,1,11,9,8,7,80.33,55.931,341.19,661.742,0.122,0.022,0.002,27.159
51,13,11,2,8,1,6,9,1,92.238,63.754,351.677,695.646,0.139,0.02,0.002,14.343
56,8,7,4,2,2,11,14,8,57.733,42.235,306.815,341.38,0.106,0.017,0.003,28.912
43,3,9,2,3,10,4,8,4,47.722,36.928,221.089,347.859,0.091,0.016,0.002,17.438
51,13,6,8,0,3,9,8,4,72.114,50.781,327.304,0,0.108,0.017,0.002,25.157
60,12,9,3,10,9,6,4,7,91.022,64.086,365.317,722.894,0.129,0.022,0.002,31.291
47,14,1,1,9,13,4,1,4,73.298,51.245,328.289,648.727,0.117,0.02,0.002,16.657
66,12,11,5,1,13,2,10,12,79.593,57.169,332.415,650.719,0.12,0.021,0.002,32.868
63,5,9,8,13,3,8,6,11,80.544,63.06,396.086,778.409,0.13,0.021,0.002,47.216
47,6,4,1,5,6,8,12,5,46.526,34.879,225.179,362.924,0.094,0.015,0.004,14.75
57,8,7,0,9,5,8,12,8,67.686,47.044,0,624.701,0.106,0.017,0.003,27.352
42,2,2,12,3,6,4,13,0,49.493,44.326,317.375,606.83,0.114,0.02,0.002,0
45,3,3,6,7,12,6,5,3,53.766,43.414,311.021,608.699,0.119,0.019,0.002,15.508
41,10,0,4,7,7,3,6,4,54.839,0,310.937,400.781,0.093,0.015,0.003,13.991
50,2,8,12,10,0,0,13,5,58.742,48.305,356.705,691.039,0,0,0.003,29.484
47,5,4,1,12,4,4,5,12,51.98,40.261,315.214,460.269,0.089,0.014,0.002,26.965
45,9,3,8,5,7,2,11,0,77.901,51.64,333.224,648.856,0.113,0.021,0.002,0
67,13,4,10,4,1,7,14,14,74.184,55.555,348.201,673.113,0.112,0.018,0.002,44.999
66,7,8,13,12,7,3,2,14,91.212,70.724,433.824,846.199,0.142,0.023,0.003,55.127
22,2,4,1,0,12,2,0,1,23.744,20.882,155.738,0,0.067,0.013,0,4.335
42,3,8,1,4,5,7,8,6,43.157,34.099,219.521,348.805,0.087,0.014,0.002,12.811
48,8,12,2,7,8,5,4,2,76.374,56.391,333.196,658.602,0.113,0.019,0.002,21.02
66,2,13,4,12,11,10,6,8,86.728,65.32,375.396,742.341,0.141,0.024,0.002,40.644
50,1,12,5,1,10,14,0,7,55.991,47.022,316.22,621.58,0.123,0.02,0,19.46
70,5,14,9,12,10,0,7,13,84.684,69.58,410.119,804.084,0.148,0,0.003,55.707
56,12,2,9,1,12,1,8,11,65.584,47.315,322.824,622.107,0.111,0.017,0.003,40.003
63,3,10,12,11,5,1,11,10,71.284,60.439,395.33,771.078,0.112,0.018,0.002,31.855
68,12,13,13,6,6,1,10,7,94.911,72.066,409.6,795.061,0.135,0.021,0.004,37.06
56,7,1,6,11,8,10,5,8,73.327,52.296,350.407,690.406,0.124,0.02,0.002,40.203
42,7,1,11,7,2,4,6,4,59.704,44.918,331.757,646.087,0.084,0.013,0.002,13.605
75,14,11,11,5,13,11,4,6,115.583,80.091,614.919,693.131,0.163,0.028,0.003,39.376
51,14,4,6,11,3,9,3,1,89.889,63.945,382.317,753.78,0.136,0.021,0.003,15.62
39,2,12,14,1,2,5,2,1,67.056,51.867,344.74,657.516,0.101,0.016,0.001,13.376
60,13,10,7,5,5,14,2,4,97.256,68.482,362.636,711.177,0.148,0.023,0.002,15.189
56,4,10,8,14,6,1,6,7,72.711,61.101,394.547,775.611,0.118,0.019,0.002,28.687
72,8,0,10,11,11,8,12,12,82.369,0,386.217,755.781,0.138,0.023,0.003,50.64
86,10,13,7,10,9,14,12,11,108.332,79.27,606.784,743.428,0.169,0.028,0.002,62.868
51,0,7,1,9,13,5,10,6,0,38.67,304.158,417.039,0.112,0.018,0.002,15.28
38,4,2,9,2,6,7,3,5,45.576,35.901,239.867,373.046,0.096,0.015,0.002,11.473
41,2,6,7,11,3,3,3,6,56.88,44.767,330.039,647.867,0.083,0.013,0.001,14.263
37,10,5,2,5,5,4,1,5,56.039,40.872,302.286,369.922,0.09,0.014,0.002,14.266
70,13,9,4,9,14,10,3,8,104.143,72.294,377.764,746.96,0.151,0.027,0.003,48.745
69,10,13,4,8,12,0,13,9,86.175,62.749,355.197,701.485,0.137,0,0.002,36.093
60,12,3,11,2,13,11,3,5,88.127,61.48,355.652,687.597,0.143,0.025,0.003,27.639
61,7,9,7,4,7,10,5,12,79.991,55.754,337.433,659.962,0.12,0.02,0.002,36.605
48,4,8,7,10,2,4,5,8,61.497,49.324,344.033,675.784,0.094,0.015,0.002,31.092
61,1,6,3,11,11,14,3,12,61.38,51.448,336.934,666.713,0.141,0.023,0.002,32.156
57,1,6,13,12,4,9,4,8,78.38,61.486,399.389,779.064,0.134,0.021,0.001,27.559
79,13,13,5,14,9,5,11,9,105.367,79.789,612.955,792.789,0.158,0.026,0.003,46.971
33,0,0,11,1,1,5,14,1,0,0,229.663,355.412,0.106,0.016,0.002,5.226
59,5,13,5,13,6,6,1,10,81.167,66.013,383.855,758.706,0.134,0.022,0.002,45.984
41,2,1,14,6,0,7,0,11,49.404,41.948,323.595,624.985,0,0.013,0,25.383
64,13,1,6,2,12,14,12,4,72.588,51.481,324.609,634.785,0.138,0.024,0.005,21.862
51,2,11,5,4,5,1,11,12,47.097,39.603,239.354,381.034,0.077,0.012,0.002,23.6
77,8,5,8,14,14,9,14,5,102.862,70.936,418.473,823.063,0.168,0.028,0.003,25.245
45,3,4,2,13,1,1,10,11,39.796,35.542,305.403,467.737,0.073,0.011,0.002,16.016
70,11,8,6,4,8,12,7,14,90.275,61.458,343.539,674.386,0.13,0.021,0.002,47.031
67,12,3,8,12,9,1,8,14,85.041,62.277,390.97,768.974,0.129,0.02,0.002,43.44
60,7,5,11,4,12,5,14,2,78.019,55.263,348.988,677.182,0.123,0.021,0.003,11.13
59,3,14,11,9,6,7,4,5,82.356,68.373,397.814,775.982,0.139,0.022,0.002,16.051
64,14,5,9,10,3,5,9,9,87.263,64.326,394.673,773.559,0.121,0.019,0.002,27.917
42,1,2,3,9,8,9,6,4,35.766,37.118,252.297,427.196,0.106,0.018,0.002,10.082
45,8,6,1,3,9,6,9,3,54.505,37.661,219.328,343.446,0.095,0.017,0.002,16.83
54,13,5,7,0,1,14,12,2,70.641,48.917,321.357,0,0.124,0.018,0.003,13.384
57,8,7,0,7,14,12,0,9,73.733,51.36,0,639.357,0.14,0.024,0,37.263
50,5,2,5,8,11,13,1,5,66.038,47.586,325.031,640.738,0.136,0.022,0.001,27.053
45,1,3,13,13,4,1,3,7,62.235,51.217,377.223,737.659,0.094,0.015,0.001,24.229
58,1,10,11,7,5,11,2,11,75.438,58.459,367.328,713.987,0.13,0.021,0.001,31.567
45,4,4,7,3,6,10,1,10,50.538,39.998,302.105,342.814,0.106,0.017,0.002,21.267
67,14,6,4,2,11,11,9,10,85.363,56.431,326.168,640.737,0.121,0.022,0.004,45.979
61,13,8,10,2,3,10,13,2,87.647,62.25,356.139,690.259,0.128,0.02,0.003,16.66
55,3,11,6,1,4,12,7,11,55.443,44.25,314.636,606.205,0.113,0.018,0.002,37.724
65,14,5,5,8,7,8,7,11,88.741,61.527,355.221,700.046,0.123,0.02,0.002,37.336
67,11,13,10,8,2,13,7,3,99.301,77.166,407.091,795.606,0.16,0.025,0.004,33.114
68,4,11,7,6,10,6,11,13,75.003,56.601,347.376,679.78,0.122,0.021,0.002,34.848
