workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
65,10,14,5,11,1,12,11,1,0.089426354,0.177381933,0.010184163,0.014368512,5.607797623,452.8164063,273.7507019,0.031314123
59,6,4,6,11,11,11,1,9,0.074829698,0.066076584,0.016321862,0.015175859,80.2118988,467.4352112,0.1128098,0.096304774
53,10,7,9,1,7,2,5,12,0.147007495,0.145028993,0.027573358,0.001588033,71.4412384,122.8181458,0.572115719,0.099484101
83,11,14,14,8,12,5,9,10,0.099674307,0.160113543,0.022050912,0.010856169,70.25126648,172.3256683,0.62585634,0.060918212
71,9,11,4,12,12,11,5,7,0.087703735,0.145296186,0.010208922,0.015476259,77.95100403,405.7591553,0.411224663,0.058868352
44,7,6,1,1,8,4,8,9,0.148775727,0.187381044,0.004802843,0.003114392,105.8142395,279.2483215,1.380216002,0.143758133
47,1,12,1,4,14,6,6,3,0.019782621,0.282048255,0.003231634,0.010269624,126.7985382,300.6478577,1.786888838,0.116598815
63,2,10,12,5,13,5,9,7,0.02606082,0.165217251,0.032626186,0.007007354,97.52038574,225.3965759,1.477673769,0.124092773
78,12,12,8,6,10,8,13,9,0.11869479,0.165531963,0.020822339,0.007972126,70.18890381,319.581543,1.14278996,0.062658638
74,13,11,3,13,9,14,9,2,0.116150595,0.138498768,0.004916558,0.016727041,54.52761078,508.0176392,1.942048907,0.051591303
44,0,4,0,6,0,9,13,12,0,0.176226556,0,0.018813958,0,750.6915283,4.127568245,0.371794462
65,11,9,8,3,5,6,12,11,0.138069317,0.158621162,0.023321062,0.004491552,44.81218719,317.9177551,1.159504652,0.113109671
77,9,11,10,14,14,9,9,1,0.067355409,0.119824775,0.015131444,0.016927242,72.82634735,265.9888916,177.6246033,0.027794037
69,7,7,8,11,7,3,13,13,0.086527348,0.119773634,0.021126568,0.014805838,56.51416016,149.0821991,1.217857957,0.109504499
42,0,13,12,7,3,3,1,3,0,0.2376623,0.033651434,0.010135549,29.84272766,183.3289032,0.294410259,0.092204012
73,8,14,7,9,4,14,10,7,0.087361008,0.191224575,0.017820209,0.011641294,25.42406845,549.9747314,0.934335768,0.05410618
64,5,0,11,14,10,4,11,9,0.068748631,0,0.027629083,0.017923947,73.23158264,183.2441559,1.387444377,0.10593468
63,6,12,11,8,1,12,4,9,0.071729846,0.176167682,0.027890958,0.010408073,6.915663719,510.5297546,0.426680207,0.090156585
65,4,2,14,14,3,13,13,2,0.047829375,0.029604193,0.03225781,0.016496206,19.05452728,501.8935852,42.38311768,0.068441831
60,9,14,8,12,0,2,5,10,0.111100063,0.206591159,0.019996854,0.01528467,0,104.5846481,0.39445895,0.092118211
70,10,12,2,6,8,11,11,10,0.113533169,0.194004834,0.005884543,0.008928736,62.30021286,501.9850464,0.916582584,0.07905715
67,9,8,3,2,9,13,12,11,0.124784559,0.159546256,0.009567581,0.003239262,72.57515717,623.3181763,1.078523874,0.10436774
67,1,14,13,6,12,10,2,9,0.010826562,0.198430687,0.032423902,0.007715733,79.03104401,382.0189819,0.186161906,0.075418152
45,1,1,3,7,5,6,10,12,0.039344005,0.034868892,0.013706658,0.019039286,58.82452774,422.3127747,2.943341255,0.327622235
54,0,2,13,2,8,10,13,6,0,0.049647667,0.042094637,0.005805124,71.08324432,522.4550781,2.841572285,0.141112074
56,6,11,14,4,1,9,10,1,0.065941125,0.159141958,0.035852723,0.005292708,6.082339764,365.4336548,276.0535278,0.02596863
69,5,9,11,5,9,10,14,6,0.060925502,0.14406009,0.029592855,0.006919953,67.16107178,434.0726929,1.487258911,0.070903063
